"","GeneID","Chromosome","CausalVariance"
"256","ENSG00000188784",1,"NA"
"257","ENSG00000188257",1,"NA"
"258","ENSG00000127472",1,"0.201730851893763"
"259","ENSG00000117215",1,"0"
"260","ENSG00000158786",1,"1.15382389082844"
"261","ENSG00000187980",1,"NA"
"262","ENSG00000225986",1,"NA"
"263","ENSG00000162543",1,"0.16845250656604"
"264","ENSG00000158816",1,"NA"
"265","ENSG00000236963",1,"NA"
"266","ENSG00000162545",1,"0.0915986570941766"
"267","ENSG00000090432",1,"1.10578350385221"
"268","ENSG00000183114",1,"NA"
"269","ENSG00000158825",1,"0.999996873879206"
"270","ENSG00000158828",1,"0.34643532106523"
"271","ENSG00000244038",1,"0"
"272","ENSG00000117245",1,"0.176062733230176"
"273","ENSG00000189410",1,"0.218908226709467"
"274","ENSG00000127483",1,"0.0119541011649986"
"275","ENSG00000075151",1,"0.0855762001463193"
"276","ENSG00000221808",1,"NA"
"277","ENSG00000117298",1,"0.322150676768144"
"278","ENSG00000142794",1,"0.99999997189883"
"279","ENSG00000162551",1,"0"
"280","ENSG00000076864",1,"0"
"281","ENSG00000090686",1,"0.270522425770125"
"282","ENSG00000187942",1,"0.194785194935949"
"283","ENSG00000142798",1,"0"
"284","ENSG00000219073",1,"NA"
"285","ENSG00000142789",1,"NA"
"286","ENSG00000218510",1,"1"
"287","ENSG00000070831",1,"0.231684909302024"
"288","ENSG00000162552",1,"0.466492221515589"
"289","ENSG00000184677",1,"0.196046069947708"
"290","ENSG00000070886",1,"NA"
"291","ENSG00000173372",1,"NA"
"292","ENSG00000159189",1,"NA"
"293","ENSG00000173369",1,"NA"
"294","ENSG00000133216",1,"0.0235205412981903"
"295","ENSG00000265422",1,"NA"
"296","ENSG00000264014",1,"NA"
"297","ENSG00000215906",1,"NA"
"298","ENSG00000227868",1,"NA"
"299","ENSG00000004487",1,"0"
"300","ENSG00000263793",1,"NA"
"301","ENSG00000169641",1,"0.076459910695411"
"302","ENSG00000179546",1,"NA"
"303","ENSG00000125944",1,"0.0136738008201533"
"304","ENSG00000125945",1,"0"
"305","ENSG00000204219",1,"0.340803651257481"
"306","ENSG00000088280",1,"0.323274181442603"
"307","ENSG00000007968",1,"0"
"308","ENSG00000117318",1,"0.954776866648293"
"309","ENSG00000197880",1,"0"
"310","ENSG00000142676",1,"0.296130150765852"
"311","ENSG00000011007",1,"0.54746102011933"
"312","ENSG00000057757",1,"0.272335340233229"
"313","ENSG00000011009",1,"0.279932797291481"
"314","ENSG00000117308",1,"0"
"315","ENSG00000117305",1,"0"
"316","ENSG00000179163",1,"0.0441567240892716"
"317","ENSG00000188822",1,"0"
"318","ENSG00000264926",1,"NA"
"319","ENSG00000189266",1,"0.252515411096133"
"320","ENSG00000188529",1,"0.240774124721297"
"321","ENSG00000142661",1,"NA"
"322","ENSG00000142677",1,"NA"
"323","ENSG00000185436",1,"0.249177889352928"
"324","ENSG00000158055",1,"0"
"325","ENSG00000001460",1,"0.751600327766149"
"326","ENSG00000001461",1,"0.245650515192341"
"327","ENSG00000117602",1,"0.216307525007481"
"328","ENSG00000184454",1,"NA"
"329","ENSG00000133226",1,"0"
"330","ENSG00000169504",1,"0.0416258952907824"
"331","ENSG00000020633",1,"0"
"332","ENSG00000117614",1,"0"
"333","ENSG00000117616",1,"0.174571786710999"
"334","ENSG00000187010",1,"0.835665257253986"
"335","ENSG00000183726",1,"0.25829200790086"
"336","ENSG00000188672",1,"0.0625512990905714"
"337","ENSG00000204178",1,"0"
"338","ENSG00000157978",1,"0.280257574087802"
"339","ENSG00000117643",1,"0.48520185817111"
"340","ENSG00000162430",1,"0.638685901063839"
"341","ENSG00000117640",1,"0.015779643306778"
"342","ENSG00000127423",1,"0.249321421608811"
"343","ENSG00000182749",1,"0.0590047742811932"
"344","ENSG00000117632",1,"0.0446773075298071"
"345","ENSG00000264021",1,"NA"
"346","ENSG00000158006",1,"0"
"347","ENSG00000158008",1,"NA"
"348","ENSG00000158014",1,"NA"
"349","ENSG00000158022",1,"NA"
"350","ENSG00000175087",1,"0.216076422822275"
"351","ENSG00000197245",1,"NA"
"352","ENSG00000142684",1,"1.37661423981392"
"353","ENSG00000142675",1,"0.0948820882050385"
"354","ENSG00000188782",1,"NA"
"355","ENSG00000130695",1,"0.502385435231796"
"356","ENSG00000142669",1,"0.233056802985565"
"357","ENSG00000158062",1,"0"
"358","ENSG00000169442",1,"0.00792008041210085"
"359","ENSG00000176092",1,"NA"
"360","ENSG00000176083",1,"NA"
"361","ENSG00000131914",1,"NA"
"362","ENSG00000117682",1,"0.0112130465149233"
"363","ENSG00000198830",1,"0"
"364","ENSG00000117676",1,"0.298832551690748"
"365","ENSG00000238705",1,"NA"
"366","ENSG00000117713",1,"0"
"367","ENSG00000060642",1,"0.328355006108848"
"368","ENSG00000204160",1,"0.0170548245524615"
"369","ENSG00000175793",1,"0"
"370","ENSG00000142751",1,"0"
"371","ENSG00000198746",1,"0.447709444600399"
"372","ENSG00000090273",1,"0"
"373","ENSG00000131910",1,"NA"
"374","ENSG00000175707",1,"0"
"375","ENSG00000253368",1,"0.392347560982585"
"376","ENSG00000158246",1,"NA"
